label,label_id,box_xtl,box_ytl,box_xbr,box_ybr,confidence,frame_id
Female,1,703,434,808,512,0.3625454,303
Female,1,65,254,146,316,0.6137024,304
Female,1,703,434,808,512,0.3693298,304
Female,1,65,253,145,316,0.53997177,305
Female,1,702,435,807,512,0.3388188,305
Female,1,65,254,145,316,0.51965433,306
Female,1,701,435,807,513,0.34827322,306
Female,1,64,254,144,315,0.52837425,307
Female,1,701,436,806,514,0.34073317,307
Female,1,64,254,145,316,0.5528597,308
Female,1,702,435,807,513,0.32486495,308
Female,1,65,254,147,316,0.5300173,309
Female,1,703,434,808,512,0.30773956,309
Female,1,63,253,144,316,0.5873779,310
Female,1,703,434,808,512,0.3349229,310
Female,1,64,253,145,316,0.54931134,311
Female,1,703,434,808,512,0.33102018,311
Female,1,65,254,146,316,0.52521765,312
Female,1,703,435,808,512,0.3215589,312
Female,1,65,254,147,316,0.5115178,313
Female,1,63,254,144,316,0.55359656,314
Female,1,65,254,146,317,0.5781312,315
Female,1,702,434,808,513,0.3360469,315
Female,1,65,254,146,317,0.5835953,316
Female,1,702,434,807,513,0.3557661,316
Female,1,65,254,146,317,0.569171,317
Female,1,702,434,808,512,0.3436656,317
Female,1,65,254,146,316,0.5491628,318
Female,1,703,435,808,513,0.38975242,318
Female,1,65,254,146,316,0.55284685,319
Female,1,702,435,808,513,0.40768993,319
Female,1,64,254,144,316,0.5732238,320
Female,1,702,435,808,513,0.43940204,320
Female,1,64,254,144,316,0.580522,321
Female,1,702,434,808,512,0.40461546,321
Female,1,63,254,142,316,0.53662884,322
Female,1,702,434,808,513,0.3983366,322
Female,1,62,254,142,315,0.52645195,323
Female,1,702,435,807,513,0.36439696,323
Female,1,64,254,144,316,0.54531157,324
Female,1,702,435,807,512,0.34483337,324
Female,1,65,254,145,316,0.50433785,325
Female,1,702,435,807,513,0.38109422,325
Male,0,1479,225,1596,301,0.33347845,325
Female,1,64,254,145,315,0.4766857,326
Male,0,1483,229,1595,302,0.39155844,326
Female,1,702,436,808,514,0.36372995,326
Female,1,64,254,143,315,0.5083064,327
Male,0,1488,237,1563,299,0.4324677,327
Female,1,702,436,807,514,0.3734006,327
Male,0,1488,235,1550,305,0.58319163,328
Female,1,64,254,144,316,0.5314248,328
Male,0,1494,234,1547,299,0.6572582,329
Female,1,69,253,148,318,0.5036117,329
Female,1,67,253,149,316,0.5605451,330
